id;data_hora;cadeia_analisada;acesso_autorizado;ponto_acesso_id;automovel_id;autorizacao_acesso_id
2fb0d170-f59d-442b-b08f-e8eb3126de69;2024-09-11T02:18:31;irritably meager;AUTORIZADO;e76980a5-4171-42f5-8f2b-5dcd4d4707b1;400bb7b8-5c67-43a9-a115-560bf0538248;1662291e-2785-4631-9ff5-96fb3e52fa6f
c91dd6ab-c510-40e6-8ced-f1b8da20fb4e;2024-09-10T20:34:33;careful whenever mortally;ERRO;b5c5065f-f305-4e33-b874-afb2b525892f;e6ebb959-a03d-431f-b9cf-3a453eb5b268;5738538d-b607-416d-abde-498ad717498d
104b7af7-ee48-4e0b-8d80-5ef0d358d91d;2024-09-11T02:37:51;gleefully ill brr;RECUSADO;26eba4a0-4e7c-4cd3-9991-322907c213f9;440e2084-db16-4594-bff8-fcb091ff6338;74662326-6892-4ce9-a6cb-520d688452e3
9d84d711-eadc-411f-9133-ab3a33481d3b;2024-09-10T04:33:28;calm;AUTORIZADO;5e207d48-f9f4-4129-9c0e-2ddb00a92a1f;d7495903-a415-4b8b-b4ec-fe285cc85be4;e869b88b-f3c7-47d0-a251-44e149584b5a
39908dcd-a5c5-4c55-9ed6-9a6f5fd91d0e;2024-09-10T19:58:00;plagiarise drat worth;RECUSADO;67fe6075-9c85-4ad6-9d69-9890fde47c94;73f33f70-db52-4f59-b8e6-33f83e802fc4;5dbed102-9fc0-4c4e-8206-270968e84936
8e228713-fa85-45c3-b7c5-fd7d87dfb06e;2024-09-10T10:05:11;what cohesion;AUTORIZADO;2ac35334-a8f9-4fa5-bbbe-5fe7a0d49ad7;50fc0511-4c58-4791-b8d3-83f0e39621f9;c7f78e6e-3f98-471a-b5f8-d8cc740e3345
007eeb60-c37b-4b0a-9ee8-718d534c8aa3;2024-09-11T01:06:59;throughout following;RECUSADO;1b4bc9b8-33d8-41a6-96b6-7716bc91338b;3797e797-2603-4184-9559-85a59c613b2b;48a20588-5f53-47fe-8b08-f16319150f60
1ba8ebb3-731b-464d-9c2a-99642ca80dc7;2024-09-11T00:05:43;whoever majestically;RECUSADO;bc08cf8f-9eb6-4d01-b912-b53f8a8c7cd5;0b698f39-7951-4457-ae72-bea3ed91a0a9;3ff67e66-9bd1-407e-968b-d6c64acf6944
8d0be38d-c01e-4afe-a9fd-975467bfbc0d;2024-09-11T02:37:30;beyond considering;AUTORIZADO;f28f8505-45e2-49b9-a52d-97e0b958eacc;7fe88664-0b53-44f7-b6b5-2faaf904d95c;2be4ffa5-74fa-4e7e-a479-cf63c9c5dadc
abb8ae08-dba7-4deb-aaff-06b8c87aff26;2024-09-10T14:39:12;till;ERRO;2d96a58b-ff65-4f80-ae75-b02f742fe69f;3a5650f1-779c-4f6f-bfb9-4d1cba87fa9c;045bedec-bf62-4a2c-8dbb-9962f4b59381
