id;descricao;data_inicial;data_final;status;pessoa_id;estabelecimento_id
1662291e-2785-4631-9ff5-96fb3e52fa6f;towards whether;2024-09-10T18:34:04;2024-09-11T02:15:40;EXPIRADO;f643d19c-6be3-4e67-9041-61c02bc7a01d;8b443c1b-89da-4c4b-aefc-b9022ea5ce9a
5738538d-b607-416d-abde-498ad717498d;until cub encouragement;2024-09-10T20:56:54;2024-09-10T14:07:19;INATIVO;33f1eff4-9270-49cd-9ffa-9882090837f8;2fc615a3-688a-4550-960a-10ffcb8d0371
74662326-6892-4ce9-a6cb-520d688452e3;liability faint grim;2024-09-10T22:10:52;2024-09-10T09:16:53;INATIVO;33f1eff4-9270-49cd-9ffa-9882090837f8;68e60f4c-60ba-4d78-b5a7-4149611f1e0e
e869b88b-f3c7-47d0-a251-44e149584b5a;whenever likeness brr;2024-09-10T09:31:24;2024-09-10T13:02:49;EXPIRADO;f643d19c-6be3-4e67-9041-61c02bc7a01d;8fdbebd8-f3e2-490b-9fb9-0954967aa1c9
5dbed102-9fc0-4c4e-8206-270968e84936;unexpectedly warm talkative;2024-09-10T16:58:11;2024-09-10T14:18:54;INATIVO;33f1eff4-9270-49cd-9ffa-9882090837f8;47e7ea41-317b-4b6a-92f3-6bf1f58b89ae
c7f78e6e-3f98-471a-b5f8-d8cc740e3345;lone;2024-09-10T15:54:29;2024-09-10T10:49:24;EXPIRADO;33f1eff4-9270-49cd-9ffa-9882090837f8;da75f8ff-c34c-4b1e-b847-4fd2f81dba55
48a20588-5f53-47fe-8b08-f16319150f60;which crumb;2024-09-10T12:09:22;2024-09-10T14:37:57;EXPIRADO;33f1eff4-9270-49cd-9ffa-9882090837f8;c4439abe-3ce8-46bd-bfe7-436db6649508
3ff67e66-9bd1-407e-968b-d6c64acf6944;anti till overgraze;2024-09-11T00:59:47;2024-09-11T00:41:53;INATIVO;f643d19c-6be3-4e67-9041-61c02bc7a01d;0a5a21bf-d629-4fce-a155-ef47b3dd0ab9
2be4ffa5-74fa-4e7e-a479-cf63c9c5dadc;stark;2024-09-10T15:44:29;2024-09-11T02:17:02;ATIVO;f643d19c-6be3-4e67-9041-61c02bc7a01d;2daeaf05-d70e-4df5-8604-9f2c216de3e3
045bedec-bf62-4a2c-8dbb-9962f4b59381;save geez;2024-09-10T21:52:21;2024-09-10T20:16:50;ATIVO;f643d19c-6be3-4e67-9041-61c02bc7a01d;118451b4-3087-45cf-bade-b64d957bc0fe
